match_id,team1,team2,winner,toss_winner,toss_decision,bat_first,venue,date,event,is_val_2022,is_val_2024
907385,South Africa,England,England,England,field,South Africa,New Wanderers Stadium,2016-02-21,England Women in South Africa T20I Series,False,False
907395,South Africa,West Indies,South Africa,South Africa,bat,South Africa,Kingsmead,2016-03-04,West Indies Women in South Africa T20I Series,False,False
907399,South Africa,West Indies,South Africa,South Africa,bat,South Africa,Newlands,2016-03-09,West Indies Women in South Africa T20I Series,False,False
951375,India,Bangladesh,India,Bangladesh,field,India,M Chinnaswamy Stadium,2016-03-15,Women's World T20,False,False
951377,New Zealand,Sri Lanka,New Zealand,Sri Lanka,bat,Sri Lanka,Feroz Shah Kotla,2016-03-15,Women's World T20,False,False
951379,Pakistan,West Indies,West Indies,Pakistan,field,West Indies,"""MA Chidambaram Stadium, Chepauk""",2016-03-16,Women's World T20,False,False
951381,Bangladesh,England,England,England,bat,England,M Chinnaswamy Stadium,2016-03-17,Women's World T20,False,False
951383,Ireland,New Zealand,New Zealand,New Zealand,bat,New Zealand,"""Punjab Cricket Association IS Bindra Stadium, Mohali""",2016-03-18,Women's World T20,False,False
951385,Australia,South Africa,Australia,South Africa,bat,South Africa,"""Vidarbha Cricket Association Stadium, Jamtha""",2016-03-18,Women's World T20,False,False
951387,India,Pakistan,Pakistan,Pakistan,field,India,Feroz Shah Kotla,2016-03-19,Women's World T20,False,False
951391,Sri Lanka,Ireland,Sri Lanka,Sri Lanka,bat,Sri Lanka,"""Punjab Cricket Association IS Bindra Stadium, Mohali""",2016-03-20,Women's World T20,False,False
951389,Bangladesh,West Indies,West Indies,West Indies,bat,West Indies,"""MA Chidambaram Stadium, Chepauk""",2016-03-20,Women's World T20,False,False
951393,Australia,New Zealand,New Zealand,Australia,bat,Australia,"""Vidarbha Cricket Association Stadium, Jamtha""",2016-03-21,Women's World T20,False,False
951395,India,England,England,England,field,India,Himachal Pradesh Cricket Association Stadium,2016-03-22,Women's World T20,False,False
951397,Ireland,South Africa,South Africa,South Africa,bat,South Africa,"""MA Chidambaram Stadium, Chepauk""",2016-03-23,Women's World T20,False,False
951403,Bangladesh,Pakistan,Pakistan,Bangladesh,bat,Bangladesh,Feroz Shah Kotla,2016-03-24,Women's World T20,False,False
951401,Australia,Sri Lanka,Australia,Sri Lanka,bat,Sri Lanka,Feroz Shah Kotla,2016-03-24,Women's World T20,False,False
951399,England,West Indies,England,West Indies,bat,West Indies,Himachal Pradesh Cricket Association Stadium,2016-03-24,Women's World T20,False,False
951405,Australia,Ireland,Australia,Australia,field,Ireland,Feroz Shah Kotla,2016-03-26,Women's World T20,False,False
951407,New Zealand,South Africa,New Zealand,New Zealand,field,South Africa,M Chinnaswamy Stadium,2016-03-26,Women's World T20,False,False
951411,England,Pakistan,England,England,bat,England,"""MA Chidambaram Stadium, Chepauk""",2016-03-27,Women's World T20,False,False
951409,India,West Indies,West Indies,India,field,West Indies,"""Punjab Cricket Association IS Bindra Stadium, Mohali""",2016-03-27,Women's World T20,False,False
951413,South Africa,Sri Lanka,Sri Lanka,Sri Lanka,bat,Sri Lanka,M Chinnaswamy Stadium,2016-03-28,Women's World T20,False,False
951415,Australia,England,Australia,England,field,Australia,Feroz Shah Kotla,2016-03-30,Women's World T20,False,False
951417,New Zealand,West Indies,West Indies,New Zealand,field,West Indies,Wankhede Stadium,2016-03-31,Women's World T20,False,False
951419,Australia,West Indies,West Indies,Australia,bat,Australia,Eden Gardens,2016-04-03,Women's World T20,False,False
946551,England,Pakistan,England,England,bat,England,County Ground,2016-07-03,Pakistan Women in England T20I Series,False,False
946553,England,Pakistan,England,England,bat,England,The Rose Bowl,2016-07-05,Pakistan Women in England T20I Series,False,False
946555,England,Pakistan,England,England,bat,England,County Ground,2016-07-07,Pakistan Women in England T20I Series,False,False
962023,Ireland,Bangladesh,Ireland,Bangladesh,field,Ireland,"""Bready Cricket Club, Magheramason""",2016-09-05,Bangladesh Women in Ireland T20I Series,False,False
1044211,Sri Lanka,Australia,Australia,Australia,field,Sri Lanka,Sinhalese Sports Club Ground,2016-09-27,,False,False
1050615,New Zealand,Pakistan,New Zealand,New Zealand,bat,New Zealand,Saxton Oval,2016-11-21,,False,False
1065348,India,Pakistan,India,India,bat,India,Asian Institute of Technology Ground,2016-12-04,Asian Cricket Council Women's Twenty20 Asia Cup,False,False
1043989,Australia,New Zealand,Australia,New Zealand,field,Australia,Melbourne Cricket Ground,2017-02-17,New Zealand Women in Australia T20I Series,False,False
1043991,Australia,New Zealand,New Zealand,Australia,field,New Zealand,"""Simonds Stadium, South Geelong""",2017-02-19,New Zealand Women in Australia T20I Series,False,False
